,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epoch_loss
62,0.256,0.168,0.215,0.048,0.509,0.218,0.299,0.378,0.476,0.253,2.146090890477101
63,0.258,0.458,0.095,0.317,0.228,0.166,0.652,0.163,0.273,0.179,2.1525292902638515
64,0.204,0.269,0.446,0.136,0.166,0.016,0.033,0.338,0.174,0.596,2.153286236209174
65,0.193,0.384,0.156,0.047,0.248,0.49,0.31,0.413,0.441,0.159,2.153179289959371
66,0.196,0.124,0.083,0.339,0.375,0.156,0.231,0.176,0.222,0.732,2.155856349013746
67,0.33,0.195,0.242,0.264,0.187,0.063,0.666,0.164,0.336,0.434,2.1547938665300608
68,0.276,0.271,0.424,0.053,0.171,0.261,0.369,0.247,0.487,0.094,2.15952701647083
69,0.182,0.233,0.62,0.027,0.196,0.002,0.039,0.441,0.247,0.306,2.1480045373315613
70,0.285,0.508,0.095,0.087,0.328,0.455,0.289,0.253,0.381,0.124,2.1535856037711105
71,0.524,0.478,0.197,0.33,0.236,0.015,0.391,0.412,0.197,0.087,2.150246257054309
72,0.302,0.651,0.393,0.393,0.018,0.029,0.219,0.297,0.189,0.221,2.1583878611425558
73,0.144,0.351,0.107,0.158,0.469,0.113,0.495,0.258,0.414,0.25,2.15205118389676
74,0.322,0.121,0.22,0.217,0.152,0.354,0.125,0.434,0.085,0.42,2.157365850990017
75,0.667,0.264,0.189,0.137,0.041,0.408,0.175,0.129,0.109,0.409,2.1591528975839416
76,0.587,0.068,0.039,0.099,0.294,0.303,0.318,0.196,0.048,0.618,2.1545905630141498
77,0.34,0.078,0.399,0.06,0.265,0.173,0.315,0.379,0.332,0.456,2.1494602336113653
78,0.455,0.088,0.209,0.02,0.138,0.077,0.568,0.358,0.242,0.438,2.1495593133618436
79,0.446,0.397,0.309,0.278,0.289,0.122,0.216,0.466,0.208,0.12,2.145083304055035
80,0.289,0.142,0.01,0.339,0.378,0.537,0.21,0.044,0.386,0.246,2.1486115242019297
81,0.361,0.415,0.066,0.324,0.613,0.108,0.207,0.109,0.079,0.31,2.1488829270030063
82,0.413,0.066,0.081,0.314,0.263,0.079,0.444,0.344,0.268,0.519,2.147203558348119
83,0.345,0.179,0.394,0.197,0.232,0.281,0.246,0.269,0.272,0.41,2.1546335907379786
84,0.474,0.301,0.235,0.308,0.294,0.029,0.265,0.346,0.092,0.412,2.153458771109581
85,0.3,0.288,0.264,0.062,0.255,0.123,0.453,0.575,0.326,0.043,2.1516328727354606
86,0.149,0.223,0.344,0.186,0.183,0.135,0.339,0.454,0.558,0.255,2.1480538051178057
87,0.13,0.544,0.228,0.146,0.143,0.178,0.632,0.258,0.236,0.305,2.1574811522016923
88,0.15,0.326,0.384,0.276,0.129,0.129,0.404,0.216,0.417,0.301,2.1464206373070676
89,0.176,0.3,0.282,0.54,0.24,0.098,0.323,0.17,0.292,0.135,2.158020323857665
90,0.341,0.232,0.235,0.22,0.318,0.112,0.476,0.278,0.447,0.355,2.1511070574745537
91,0.531,0.469,0.068,0.153,0.558,0.15,0.305,0.055,0.069,0.085,2.150872356077035
92,0.46,0.485,0.04,0.093,0.245,0.272,0.645,0.122,0.136,0.294,2.1545050605138143
93,0.38,0.222,0.391,0.071,0.288,0.295,0.321,0.236,0.285,0.312,2.151970232218504
94,0.66,0.072,0.174,0.005,0.221,0.314,0.45,0.236,0.278,0.238,2.156731616196533
95,0.281,0.297,0.524,0.189,0.298,0.008,0.439,0.054,0.25,0.277,2.14959024113665
96,0.198,0.48,0.226,0.076,0.199,0.381,0.456,0.214,0.471,0.09,2.150340988362829
97,0.398,0.382,0.531,0.064,0.181,0.063,0.199,0.102,0.282,0.428,2.1462040778448186
98,0.136,0.021,0.071,0.013,0.358,0.378,0.494,0.17,0.261,0.695,2.155220435750981
99,0.265,0.397,0.146,0.03,0.157,0.599,0.5,0.144,0.278,0.222,2.151057893527051
