epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
12,1049,,0.5390625,,1.2235994338989258,,
12,1099,,0.4921875,,1.2437596321105957,,
12,1117,,,,,0.5868459343910217,1.1119353771209717
12,1117,0.583605945110321,,1.1193689107894897,,,
13,1149,,0.6015625,,1.085930585861206,,
13,1199,,0.59375,,1.0904202461242676,,
13,1203,,,,,0.5868459343910217,1.2261022329330444
13,1203,0.583787739276886,,1.1246174573898315,,,
14,1249,,0.6015625,,1.0897432565689087,,
14,1289,,,,,0.5868459343910217,1.1710792779922485
14,1289,0.583787739276886,,1.1320286989212036,,,
15,1299,,0.578125,,1.1488351821899414,,
15,1349,,0.53125,,1.1645439863204956,,
15,1375,,,,,0.5868459343910217,1.216894507408142
15,1375,0.5836968421936035,,1.1409085988998413,,,
16,1399,,0.4921875,,1.260461449623108,,
16,1449,,0.6171875,,1.1158664226531982,,
16,1461,,,,,0.5868459343910217,1.1602580547332764
16,1461,0.583787739276886,,1.1465445756912231,,,
17,1499,,0.59375,,1.121337652206421,,
17,1547,,,,,0.5868459343910217,1.2537680864334106
17,1547,0.583787739276886,,1.1553421020507812,,,
18,1549,,0.59375,,1.179219365119934,,
18,1599,,0.671875,,1.0888230800628662,,
18,1633,,,,,0.5868459343910217,1.3158085346221924
18,1633,0.583787739276886,,1.164300560951233,,,
19,1649,,0.546875,,1.1515777111053467,,
19,1699,,0.6171875,,1.1524171829223633,,
19,1719,,,,,0.5868459343910217,1.2715736627578735
19,1719,0.5836968421936035,,1.1719790697097778,,,
20,1749,,0.671875,,1.102142572402954,,
20,1799,,0.59375,,1.2113311290740967,,
20,1805,,,,,0.5868459343910217,1.3936338424682617
20,1805,0.583787739276886,,1.181027889251709,,,
21,1849,,0.5859375,,1.1696271896362305,,
21,1891,,,,,0.5868459343910217,1.2845382690429688
21,1891,0.583605945110321,,1.1895536184310913,,,
22,1899,,0.6640625,,1.1473585367202759,,
22,1949,,0.609375,,1.1551628112792969,,
22,1977,,,,,0.5868459343910217,1.2767568826675415
22,1977,0.5836968421936035,,1.1974269151687622,,,
23,1999,,0.59375,,1.1961984634399414,,
23,2049,,0.6171875,,1.1654454469680786,,
23,2063,,,,,0.5868459343910217,1.192669153213501
23,2063,0.583787739276886,,1.2077431678771973,,,
24,2099,,0.625,,1.2077442407608032,,
24,2149,,0.6693547964096069,,1.1564228534698486,,
24,2149,,,,,0.5868459343910217,1.3181458711624146
24,2149,0.5836968421936035,,1.2201272249221802,,,
25,2199,,0.578125,,1.2587308883666992,,
25,2235,,,,,0.5868459343910217,1.3339896202087402
25,2235,0.5836968421936035,,1.231400966644287,,,
26,2249,,0.5859375,,1.2330856323242188,,
26,2299,,0.5390625,,1.2693601846694946,,
26,2321,,,,,0.5868459343910217,1.3217216730117798
26,2321,0.5836968421936035,,1.2468758821487427,,,
27,2349,,0.546875,,1.2980589866638184,,
27,2399,,0.5625,,1.2945420742034912,,
27,2407,,,,,0.5868459343910217,1.237807273864746
27,2407,0.583787739276886,,1.2623032331466675,,,
28,2449,,0.625,,1.2422466278076172,,
28,2493,,,,,0.5868459343910217,1.3593863248825073
28,2493,0.5836968421936035,,1.2750067710876465,,,
29,2499,,0.5625,,1.2926151752471924,,
29,2549,,0.5625,,1.3228031396865845,,
29,2579,,,,,0.5868459343910217,1.3350328207015991
29,2579,0.5836968421936035,,1.2931430339813232,,,
30,2580,,,,,0.5868459343910217,1.3350328207015991
