BinaryRecall,BinaryAccuracy,BinaryAUROC,BinaryPrecision,BinaryFBetaScore,Loss
0.52977645,0.6468773,0.6846495,0.5801582,0.5684729,0.93823844
0.5177879,0.647366,0.6840441,0.5832472,0.56773645,0.96221906
0.519263,0.6475798,0.68451613,0.58297896,0.5682943,0.95429057
0.5222282,0.646969,0.6847293,0.58226246,0.5683449,0.92875487
0.5217019,0.6490457,0.68491596,0.58508986,0.5705024,0.9327764
0.5203025,0.6460224,0.68499297,0.58086854,0.56698114,0.92923313
0.51749074,0.6471522,0.6846856,0.582913,0.5679247,0.95393777
0.522,0.6474577,0.68528754,0.5827149,0.56850904,0.9158455
0.51889926,0.6475493,0.684474,0.58334094,0.5686033,0.9542772
0.5254772,0.6479768,0.68470854,0.5824482,0.5696534,0.96653134
0.51453125,0.6476408,0.68430525,0.5841586,0.5682463,0.9910173
0.52392215,0.6480989,0.6852667,0.5836167,0.5698025,0.9889393
0.5242192,0.64782405,0.6851133,0.58331037,0.56922334,0.98046786
0.5307312,0.64712167,0.6849616,0.58127296,0.5689575,0.99743897
0.51845104,0.64996177,0.6845109,0.5868997,0.5714856,1.0009521
0.52229524,0.6480074,0.6855571,0.58340937,0.5694177,1.0082906
0.52355635,0.6463888,0.6841056,0.5810579,0.56767744,0.99970055
0.5193364,0.6475798,0.6852854,0.58375096,0.5687992,1.0013278
0.52326554,0.64684683,0.68474406,0.5813449,0.56796974,1.0003524
0.5165288,0.6478852,0.6846253,0.5851334,0.56906235,1.0260308
0.5181499,0.64724386,0.68444526,0.5829063,0.5680538,1.0287253
0.511354,0.64696896,0.683953,0.5841133,0.5672432,1.0390415
0.5276267,0.64761025,0.68471986,0.5825353,0.5696261,1.0329684
0.5248144,0.6465415,0.6848687,0.58066356,0.5680513,1.0461644
0.52000076,0.6453504,0.6840641,0.58088285,0.56654865,1.0232029
0.51586753,0.64904565,0.68420583,0.5864414,0.5701999,1.0528829
0.5191907,0.6460834,0.68380296,0.58197755,0.5671379,1.0486385
0.5308768,0.6478241,0.68380684,0.5816332,0.56979394,1.059636
0.51246035,0.64727443,0.683864,0.5831512,0.5671161,1.0654395
0.52310795,0.64531994,0.6836282,0.5787426,0.56596315,1.0643141
