,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
84,0.796466,0.756169,0.6547097,0.76648897,0.70172703,0.4362475
85,0.8009383,0.76303184,0.66131717,0.771413,0.70849955,0.4291462
86,0.80515563,0.7694593,0.6673783,0.7760199,0.7147201,0.42011547
87,0.81080943,0.7760777,0.678607,0.78285295,0.72404563,0.41218776
88,0.8146451,0.77728736,0.69137526,0.7885774,0.7317656,0.40445572
89,0.8191717,0.78489816,0.69654274,0.79323983,0.73803717,0.39590007
90,0.82189876,0.7870876,0.7033485,0.79682916,0.7428328,0.39063716
91,0.82609826,0.79135126,0.7125392,0.80208397,0.74986356,0.3826375
92,0.8352423,0.8050167,0.7252582,0.8119842,0.7630266,0.36998016
93,0.8377147,0.8072423,0.7309716,0.81514156,0.7671839,0.36283648
94,0.8438228,0.81485194,0.7415538,0.822196,0.7764474,0.35149843
95,0.84658605,0.81709135,0.7480623,0.8257515,0.78103983,0.34633654
96,0.8506581,0.82353926,0.75308037,0.83002365,0.78670466,0.33975393
97,0.85449374,0.8259407,0.7630668,0.83515996,0.79325205,0.32931137
98,0.8650196,0.8415553,0.77742463,0.8464961,0.8082075,0.3139053
99,0.8658196,0.83898383,0.7837343,0.84846115,0.81041306,0.31053072
