,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
83,0.7893874,0.71528924,0.47661886,0.6985875,0.5718926,0.44862518
84,0.795952,0.72478294,0.49835786,0.70955735,0.5905107,0.4404749
85,0.7968609,0.72613275,0.5012975,0.7110558,0.5929736,0.43706083
86,0.7994667,0.73088247,0.508134,0.7148897,0.5992689,0.4311512
87,0.802355,0.72883064,0.52686524,0.7223776,0.6114819,0.4279871
88,0.80681884,0.7379366,0.53650415,0.72834384,0.6212209,0.4219715
89,0.81120217,0.7465745,0.54641664,0.7343322,0.6309126,0.41505712
90,0.8149792,0.7512914,0.5581046,0.74040544,0.6403168,0.4078637
91,0.8183524,0.7535246,0.57191384,0.7468084,0.6501205,0.40292096
92,0.8241495,0.76529807,0.58353674,0.75429714,0.66211396,0.3920513
93,0.8224324,0.758817,0.58428824,0.7532967,0.66002023,0.39165574
94,0.82889605,0.7682236,0.60233665,0.76312363,0.675108,0.38275707
95,0.83200675,0.77344114,0.60978734,0.7674941,0.6817938,0.37529808
96,0.8364504,0.7801874,0.620999,0.7739026,0.69142044,0.36818665
97,0.8410963,0.78492033,0.63624346,0.7816252,0.7026647,0.35960686
98,0.8452774,0.7905568,0.64772874,0.78792685,0.7119195,0.35173512
99,0.8493778,0.79773545,0.6565474,0.79339707,0.720225,0.3431685
