,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
83,0.78750926,0.75024235,0.64195144,0.7577826,0.69184864,0.45130363
84,0.79184586,0.7553942,0.6505273,0.76298493,0.699029,0.44342583
85,0.79651594,0.7618941,0.65805566,0.7682387,0.7061391,0.43569413
86,0.800871,0.76750004,0.6658843,0.7733033,0.7130787,0.42932868
87,0.80548555,0.7712536,0.6775516,0.77935815,0.7213604,0.42061883
88,0.8107858,0.7773835,0.68787295,0.7856838,0.7298896,0.41422948
89,0.8147146,0.78384906,0.6922599,0.78970605,0.73516333,0.4042781
90,0.8222016,0.7933484,0.70532393,0.7983322,0.74673545,0.395662
91,0.819533,0.7902173,0.70033807,0.7951903,0.7425501,0.3968837
92,0.8260563,0.7975965,0.71280277,0.8029269,0.7528015,0.38670227
93,0.8348036,0.8104612,0.72506845,0.8123927,0.76536065,0.370483
94,0.83826905,0.8113305,0.73588824,0.8173602,0.7717488,0.36168665
95,0.83851004,0.811178,0.7370351,0.8177861,0.7723095,0.36268497
96,0.84671986,0.8213803,0.75074613,0.82711935,0.78445715,0.3474497
97,0.8508525,0.8285414,0.75488514,0.8312534,0.78998935,0.34047177
98,0.8587287,0.8374386,0.7691449,0.8404333,0.8018179,0.32668784
99,0.8595071,0.8376113,0.7715386,0.8415416,0.80320966,0.3216893
