,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
83,0.9542408,0.94564116,0.9225856,0.9475455,0.93334293,0.100681886
84,0.95494986,0.946725,0.9233309,0.9482622,0.9341227,0.10118693
85,0.9557678,0.9474289,0.92566645,0.94940126,0.9358082,0.0987042
86,0.9587676,0.9518715,0.9297904,0.9526388,0.9400673,0.093614705
87,0.960022,0.95415515,0.93138057,0.95396423,0.94205207,0.09200718
88,0.95944035,0.9521203,0.9323249,0.95370543,0.9416617,0.09335352
89,0.9602947,0.9528917,0.9338149,0.9546941,0.9428207,0.09007173
90,0.9623855,0.95695037,0.93570316,0.9567421,0.9457348,0.08593773
91,0.96164,0.95395434,0.9370945,0.95644855,0.9450731,0.08820983
92,0.96331275,0.9565877,0.93918145,0.95820874,0.9474064,0.08419841
93,0.965676,0.95989627,0.9429081,0.96086055,0.9510299,0.07909398
94,0.96609414,0.95908517,0.945343,0.9617052,0.9519194,0.078665674
95,0.9672759,0.961147,0.946784,0.9629418,0.9537052,0.076934025
96,0.96882117,0.9644087,0.9473303,0.96427566,0.95546734,0.07406329
97,0.9698938,0.9650133,0.9501627,0.96572053,0.95728195,0.07322751
98,0.9694756,0.96300393,0.95150435,0.9656746,0.95706654,0.07170069
99,0.9693302,0.9635817,0.9503616,0.9653183,0.9567586,0.07233346
