,BinaryAccuracy,BinaryPrecision,BinaryRecall,BinaryAUROC,BinaryF1Score,Loss
0,0.77443963,0.27102166,0.016192295,0.4989087,0.029087981,0.52436966
1,0.7853966,0.0,0.0,0.5,0.0,0.49682784
2,0.7851186,0.16791444,0.0011875553,0.5002546,0.0023576445,0.48865962
3,0.7850722,0.37399167,0.013277983,0.5046185,0.025538987,0.48462886
4,0.78565145,0.5082076,0.030334849,0.5111855,0.056492567,0.48201713
5,0.7860915,0.5249448,0.045015495,0.51680046,0.08232962,0.48021156
6,0.78576726,0.5071269,0.04976449,0.5183196,0.09038226,0.47990483
7,0.7850723,0.49319893,0.056887727,0.5204655,0.101894654,0.4791421
8,0.7855355,0.5036596,0.052894782,0.5193096,0.095366195,0.47783017
9,0.78664756,0.52479064,0.059155952,0.52229273,0.10603903,0.47735605
10,0.787968,0.5547865,0.060344208,0.52356523,0.10819082,0.476693
11,0.78623056,0.5162271,0.058507305,0.52179146,0.10490855,0.47712523
12,0.7873657,0.5430158,0.05731975,0.52208245,0.103647694,0.4761119
13,0.7872962,0.5417029,0.061529495,0.523568,0.109938756,0.4754135
14,0.7877363,0.5418863,0.07189258,0.527614,0.12668869,0.47539568
15,0.78713405,0.5336274,0.06228479,0.5237392,0.11148713,0.47471857
16,0.78720343,0.5336817,0.06346937,0.5242135,0.112897135,0.47422737
17,0.7879216,0.5460801,0.067789495,0.5262407,0.12048103,0.47342533
18,0.7877131,0.5428457,0.06940931,0.5266968,0.12294455,0.4727539
19,0.7883386,0.5512079,0.074590966,0.52897793,0.13122208,0.47207212
20,0.7886861,0.55709475,0.07415929,0.5290423,0.13063282,0.47216582
21,0.78905666,0.5641366,0.072538316,0.52868897,0.12842228,0.47249603
22,0.78822273,0.5523142,0.07210857,0.52800214,0.12722942,0.47078174
23,0.78833854,0.5494339,0.07523734,0.5292126,0.13225858,0.47008878
24,0.7898675,0.57255363,0.08257953,0.53285414,0.14407024,0.46922812
25,0.7886398,0.5557398,0.07588611,0.5296402,0.1334197,0.46946207
26,0.7898211,0.5782122,0.07545391,0.53023523,0.13324866,0.46859637
27,0.7889873,0.5623915,0.0742674,0.5292733,0.13102573,0.46951944
28,0.7889178,0.56371385,0.07307949,0.52879727,0.12937252,0.4688871
29,0.7899602,0.57502496,0.080096714,0.5320109,0.14032988,0.46814173
30,0.78975165,0.56830126,0.08246986,0.53274035,0.14381638,0.46805626
31,0.790238,0.5831233,0.079556935,0.5319918,0.13979821,0.46725813
32,0.79053926,0.58419,0.08117366,0.53277063,0.1418868,0.46674567
33,0.78998333,0.57707965,0.08009533,0.53202504,0.14052334,0.4654352
34,0.7903076,0.5782423,0.08430489,0.53376114,0.1470969,0.4649465
35,0.79100263,0.5827853,0.090567864,0.5364796,0.15655935,0.46476474
36,0.79107213,0.59033096,0.08754462,0.5354253,0.15230645,0.46406442
37,0.7913732,0.59199387,0.0894869,0.5363226,0.15544975,0.4640122
38,0.79102576,0.58846235,0.08732742,0.5353166,0.15202114,0.46443844
39,0.79084045,0.58524674,0.08786668,0.53539455,0.15275823,0.46223435
40,0.7925315,0.60387677,0.09736636,0.5399232,0.16701935,0.46153626
41,0.7920218,0.5911967,0.09876984,0.5401088,0.16913486,0.4614261
42,0.79285586,0.6053748,0.10049695,0.5412673,0.1720237,0.46033365
43,0.7927631,0.6069949,0.097799726,0.5402283,0.16823164,0.4604001
44,0.79368985,0.6087293,0.10751476,0.54434854,0.18258546,0.46067676
45,0.7934117,0.60482395,0.10740514,0.5441314,0.18220259,0.45855254
46,0.7938288,0.6140598,0.10718961,0.5443187,0.1822986,0.45956907
47,0.79380554,0.61565125,0.10589494,0.54383355,0.18025859,0.45653334
48,0.7950796,0.61919534,0.11668807,0.54856646,0.19622758,0.4572792
49,0.79482484,0.6174986,0.11550133,0.54797304,0.19458562,0.45585614
50,0.79531133,0.6272783,0.11452965,0.54792964,0.19347835,0.4554256
51,0.7946859,0.6162097,0.115718305,0.5479636,0.1945802,0.4545761
52,0.7958441,0.62187237,0.123163246,0.55140585,0.20519872,0.45370302
53,0.7954041,0.6188588,0.12230246,0.5508133,0.20407481,0.45492333
54,0.7959832,0.62721264,0.12143812,0.5508677,0.20346287,0.4535516
55,0.79623806,0.62172633,0.12888813,0.55373734,0.21322322,0.4523565
56,0.796238,0.6241764,0.12726657,0.5531478,0.21134698,0.451667
57,0.7982302,0.64256036,0.13503817,0.55724,0.2230599,0.4496142
58,0.7973498,0.6276463,0.13709024,0.55742544,0.22488442,0.44930762
59,0.7968866,0.62757945,0.13115367,0.5549734,0.21686313,0.4490583
60,0.7979753,0.6297084,0.14313622,0.5600208,0.23275825,0.44878873
61,0.79952747,0.6446665,0.14626546,0.5621458,0.23835428,0.44651276
62,0.79927266,0.6396639,0.14820908,0.5626899,0.24063551,0.44583425
63,0.79952747,0.6364436,0.15339103,0.56473535,0.24698734,0.44527918
64,0.8004772,0.6468194,0.15554969,0.5661243,0.25055632,0.44434363
65,0.80163556,0.64637876,0.16601966,0.57066613,0.26407892,0.44217283
66,0.80091745,0.6470141,0.15921971,0.5677382,0.2553864,0.4424611
67,0.8027011,0.65781146,0.16752955,0.571893,0.2668482,0.43964204
68,0.802261,0.6472576,0.17206527,0.57326126,0.2717426,0.43927604
69,0.8023073,0.6501435,0.17012048,0.5725838,0.26935855,0.4385705
70,0.8049482,0.6702231,0.17864959,0.5773646,0.28199595,0.4358882
71,0.803373,0.65080965,0.1804848,0.57702863,0.28249592,0.43429542
72,0.8053652,0.66182053,0.19020134,0.5818279,0.29512826,0.43268275
73,0.80529565,0.65841514,0.19225089,0.58252823,0.2975586,0.4321658
74,0.8050641,0.6575836,0.19127938,0.5820277,0.29588735,0.430888
75,0.80631495,0.66032726,0.20034647,0.5861189,0.30724555,0.42785668
76,0.80784386,0.66717213,0.20865977,0.5901132,0.31736767,0.42611736
77,0.80833024,0.67319787,0.20703936,0.5898339,0.31649318,0.42626715
78,0.80907154,0.673672,0.21427123,0.5929338,0.32484818,0.42363572
79,0.8117588,0.6891705,0.22344561,0.5979781,0.33742437,0.42051858
80,0.81164294,0.68302464,0.22754845,0.5993954,0.34114212,0.41902456
81,0.8135425,0.6918808,0.23596807,0.60366416,0.35148066,0.41515788
82,0.81372774,0.69289833,0.23726483,0.60425353,0.3532677,0.41441506
83,0.8151873,0.6926595,0.24946074,0.6096142,0.36663777,0.4100737
84,0.81724894,0.7064125,0.25399485,0.6125743,0.37339035,0.41000438
85,0.81912535,0.7094444,0.26597783,0.6181234,0.38683656,0.40674853
86,0.8201677,0.70486605,0.2782821,0.62325794,0.39894742,0.40129083
87,0.8221369,0.71246684,0.28659573,0.6275328,0.40847093,0.4002532
88,0.82308674,0.714487,0.29231733,0.63021666,0.41446638,0.39677054
89,0.82470816,0.7135846,0.30516273,0.6359166,0.42731476,0.392509
90,0.8266541,0.719164,0.31498364,0.6407238,0.43796903,0.388443
91,0.8289936,0.7271882,0.3244821,0.6456648,0.44844452,0.3863162
92,0.8309859,0.7332182,0.33398238,0.6503855,0.45874086,0.38229987
93,0.83260745,0.73266655,0.3461786,0.65584946,0.47016582,0.37910622
94,0.83622134,0.74604857,0.35837942,0.66258395,0.48378444,0.3714086
95,0.8375417,0.7451867,0.36927974,0.6673852,0.49353775,0.3692883
96,0.8408078,0.74787647,0.38924915,0.6767211,0.5117753,0.36611152
97,0.8422904,0.7480513,0.399074,0.6812352,0.52020395,0.36194175
98,0.845441,0.7526431,0.41580492,0.6893205,0.5354606,0.35654923
99,0.8476881,0.75869614,0.4251972,0.69416416,0.5445163,0.3516539
