,MulticlassAccuracy,MulticlassPrecision,MulticlassRecall,MulticlassAUROC,MulticlassF1Score,Loss
83,0.63899183,0.63899183,0.63899183,0.89590263,0.63899183,0.7524134
84,0.6416049,0.6416049,0.6416049,0.89748156,0.6416049,0.7524134
85,0.6467198,0.6467198,0.6467198,0.8996751,0.6467198,0.7524134
86,0.650278,0.650278,0.650278,0.9016784,0.650278,0.7524134
87,0.65348405,0.65348405,0.65348405,0.9026011,0.65348405,0.7524134
88,0.6577095,0.6577095,0.6577095,0.9053289,0.6577095,0.7524134
89,0.6616383,0.6616383,0.6616383,0.9071153,0.6616383,0.7524134
90,0.66793925,0.66793925,0.66793925,0.9086257,0.66793925,0.7524134
91,0.67201626,0.67201626,0.67201626,0.9108602,0.67201626,0.7524134
92,0.67566717,0.67566717,0.67566717,0.9122489,0.67566717,0.7524134
93,0.6786694,0.6786694,0.6786694,0.9140275,0.6786694,0.7524134
94,0.68591547,0.68591547,0.68591547,0.9158409,0.68591547,0.7524134
95,0.6899741,0.6899741,0.6899741,0.91822624,0.6899741,0.7524134
96,0.69671977,0.69671977,0.69671977,0.92070705,0.69671977,0.7524134
97,0.69818383,0.69818383,0.69818383,0.9212518,0.69818383,0.7524134
98,0.7059859,0.7059859,0.7059859,0.92397434,0.7059859,0.7524134
99,0.71380657,0.71380657,0.71380657,0.92653036,0.71380657,0.7524134
