,MulticlassAccuracy,Loss
0,0.801936,0.1764534
1,0.8295328,0.1764534
2,0.8436035,0.1764534
3,0.84872997,0.1764534
4,0.85501987,0.1764534
5,0.85752857,0.1764534
6,0.8595828,0.1764534
7,0.8646364,0.1764534
8,0.86454564,0.1764534
9,0.8669815,0.1764534
10,0.86821777,0.1764534
11,0.87214434,0.1764534
12,0.87423486,0.1764534
13,0.8742712,0.1764534
14,0.8774707,0.1764534
15,0.8790885,0.1764534
16,0.8798339,0.1764534
17,0.88068837,0.1764534
18,0.88336056,0.1764534
19,0.8828152,0.1764534
20,0.8859601,0.1764534
21,0.885451,0.1764534
22,0.88728714,0.1764534
23,0.88932323,0.1764534
24,0.88983214,0.1764534
25,0.89074117,0.1764534
26,0.89232266,0.1764534
27,0.89028674,0.1764534
28,0.89201355,0.1764534
29,0.89424956,0.1764534
30,0.89532214,0.1764534
31,0.89584935,0.1764534
32,0.89661294,0.1764534
33,0.8969947,0.1764534
34,0.8999941,0.1764534
35,0.8991579,0.1764534
36,0.90168476,0.1764534
37,0.9009029,0.1764534
38,0.9021392,0.1764534
39,0.9041206,0.1764534
40,0.9035934,0.1764534
41,0.90433884,0.1764534
42,0.9037935,0.1764534
43,0.90522957,0.1764534
44,0.90673846,0.1764534
45,0.9053022,0.1764534
46,0.9080655,0.1764534
47,0.9075929,0.1764534
48,0.90768373,0.1764534
49,0.9075929,0.1764534
50,0.90962887,0.1764534
51,0.9101924,0.1764534
52,0.91131943,0.1764534
53,0.9120466,0.1764534
54,0.9123557,0.1764534
55,0.9125193,0.1764534
56,0.91253746,0.1764534
57,0.9141735,0.1764534
58,0.9142826,0.1764534
59,0.9173912,0.1764534
60,0.91584605,0.1764534
61,0.91853654,0.1764534
62,0.9184457,0.1764534
63,0.91768205,0.1764534
64,0.9182638,0.1764534
65,0.9195364,0.1764534
66,0.91839105,0.1764534
67,0.91982716,0.1764534
68,0.9198454,0.1764534
69,0.9198818,0.1764534
70,0.9217542,0.1764534
71,0.9215905,0.1764534
72,0.9222814,0.1764534
73,0.922554,0.1764534
74,0.9224268,0.1764534
75,0.9228813,0.1764534
76,0.9245901,0.1764534
77,0.9253353,0.1764534
78,0.924572,0.1764534
79,0.9248446,0.1764534
80,0.9265534,0.1764534
81,0.92624444,0.1764534
82,0.9270989,0.1764534
83,0.92742604,0.1764534
84,0.92729884,0.1764534
85,0.9284078,0.1764534
86,0.9300438,0.1764534
87,0.92958945,0.1764534
88,0.9300621,0.1764534
89,0.930662,0.1764534
90,0.9315346,0.1764534
91,0.93264353,0.1764534
92,0.93182546,0.1764534
93,0.9319891,0.1764534
94,0.9342071,0.1764534
95,0.9350432,0.1764534
96,0.9353159,0.1764534
97,0.93571585,0.1764534
98,0.93818825,0.1764534
99,0.93649757,0.1764534
