,MulticlassAccuracy,MulticlassPrecision,MulticlassRecall,MulticlassAUROC,MulticlassF1Score,Loss
0,0.5673092,0.5673092,0.5673092,0.668264,0.5673092,0.6264334
1,0.671831,0.671831,0.671831,0.7797812,0.671831,0.6264334
2,0.68233883,0.68233883,0.68233883,0.7920197,0.68233883,0.6264334
3,0.6904373,0.6904373,0.6904373,0.79844475,0.6904373,0.6264334
4,0.6955893,0.6955893,0.6955893,0.8083831,0.6955893,0.6264334
5,0.69951814,0.69951814,0.69951814,0.8149006,0.69951814,0.6264334
6,0.7005189,0.7005189,0.7005189,0.8178399,0.7005189,0.6264334
7,0.70309484,0.70309484,0.70309484,0.8229874,0.70309484,0.6264334
8,0.7054485,0.7054485,0.7054485,0.82518494,0.7054485,0.6264334
9,0.7067272,0.7067272,0.7067272,0.827366,0.7067272,0.6264334
10,0.70756114,0.70756114,0.70756114,0.8298219,0.70756114,0.6264334
11,0.70932174,0.70932174,0.70932174,0.8317558,0.70932174,0.6264334
12,0.7104707,0.7104707,0.7104707,0.8347825,0.7104707,0.6264334
13,0.7097665,0.7097665,0.7097665,0.8355215,0.7097665,0.6264334
14,0.71228683,0.71228683,0.71228683,0.8364499,0.71228683,0.6264334
15,0.7141956,0.7141956,0.7141956,0.83814067,0.7141956,0.6264334
16,0.71471465,0.71471465,0.71471465,0.8397685,0.71471465,0.6264334
17,0.71434397,0.71434397,0.71434397,0.8402777,0.71434397,0.6264334
18,0.71584505,0.71584505,0.71584505,0.84304726,0.71584505,0.6264334
19,0.71484435,0.71484435,0.71484435,0.84193295,0.71484435,0.6264334
20,0.71779096,0.71779096,0.71779096,0.84345704,0.71779096,0.6264334
21,0.7176798,0.7176798,0.7176798,0.84530294,0.7176798,0.6264334
22,0.71832836,0.71832836,0.71832836,0.846498,0.71832836,0.6264334
23,0.7188288,0.7188288,0.7188288,0.8474425,0.7188288,0.6264334
24,0.7196812,0.7196812,0.7196812,0.8485777,0.7196812,0.6264334
25,0.71953297,0.71953297,0.71953297,0.8483442,0.71953297,0.6264334
26,0.72049665,0.72049665,0.72049665,0.85057527,0.72049665,0.6264334
27,0.72133064,0.72133064,0.72133064,0.85071325,0.72133064,0.6264334
28,0.7222201,0.7222201,0.7222201,0.8517767,0.7222201,0.6264334
29,0.7219607,0.7219607,0.7219607,0.8537427,0.7219607,0.6264334
30,0.7228317,0.7228317,0.7228317,0.8541589,0.7228317,0.6264334
31,0.7251111,0.7251111,0.7251111,0.8550916,0.7251111,0.6264334
32,0.72422165,0.72422165,0.72422165,0.85449183,0.72422165,0.6264334
33,0.7249814,0.7249814,0.7249814,0.85658205,0.7249814,0.6264334
34,0.7251482,0.7251482,0.7251482,0.857751,0.7251482,0.6264334
35,0.72629726,0.72629726,0.72629726,0.85885334,0.72629726,0.6264334
36,0.7253336,0.7253336,0.7253336,0.85907716,0.7253336,0.6264334
37,0.72766864,0.72766864,0.72766864,0.8608802,0.72766864,0.6264334
38,0.7266494,0.7266494,0.7266494,0.86073476,0.7266494,0.6264334
39,0.7284285,0.7284285,0.7284285,0.8617296,0.7284285,0.6264334
40,0.72739065,0.72739065,0.72739065,0.8618084,0.72739065,0.6264334
41,0.7295404,0.7295404,0.7295404,0.86332166,0.7295404,0.6264334
42,0.7295774,0.7295774,0.7295774,0.8632488,0.7295774,0.6264334
43,0.7303187,0.7303187,0.7303187,0.8640264,0.7303187,0.6264334
44,0.7300964,0.7300964,0.7300964,0.86460114,0.7300964,0.6264334
45,0.7309859,0.7309859,0.7309859,0.8653471,0.7309859,0.6264334
46,0.7314122,0.7314122,0.7314122,0.86683494,0.7314122,0.6264334
47,0.7314307,0.7314307,0.7314307,0.86649954,0.7314307,0.6264334
48,0.7333024,0.7333024,0.7333024,0.86815804,0.7333024,0.6264334
49,0.7324871,0.7324871,0.7324871,0.86955863,0.7324871,0.6264334
50,0.733877,0.733877,0.733877,0.86990654,0.733877,0.6264334
51,0.7326353,0.7326353,0.7326353,0.87040997,0.7326353,0.6264334
52,0.7344329,0.7344329,0.7344329,0.870117,0.7344329,0.6264334
53,0.7367495,0.7367495,0.7367495,0.8716322,0.7367495,0.6264334
54,0.7354707,0.7354707,0.7354707,0.8729677,0.7354707,0.6264334
55,0.73511857,0.73511857,0.73511857,0.8727644,0.73511857,0.6264334
56,0.7362676,0.7362676,0.7362676,0.8738443,0.7362676,0.6264334
57,0.7382876,0.7382876,0.7382876,0.8755868,0.7382876,0.6264334
58,0.7375093,0.7375093,0.7375093,0.87504756,0.7375093,0.6264334
59,0.7377502,0.7377502,0.7377502,0.8763275,0.7377502,0.6264334
60,0.7393254,0.7393254,0.7393254,0.8762256,0.7393254,0.6264334
61,0.7390845,0.7390845,0.7390845,0.8771885,0.7390845,0.6264334
62,0.7407524,0.7407524,0.7407524,0.8786049,0.7407524,0.6264334
63,0.7411972,0.7411972,0.7411972,0.87859786,0.7411972,0.6264334
64,0.74128985,0.74128985,0.74128985,0.87979335,0.74128985,0.6264334
65,0.7414937,0.7414937,0.7414937,0.8807168,0.7414937,0.6264334
66,0.7432728,0.7432728,0.7432728,0.88218623,0.7432728,0.6264334
67,0.74229056,0.74229056,0.74229056,0.8812397,0.74229056,0.6264334
68,0.743977,0.743977,0.743977,0.8823148,0.743977,0.6264334
69,0.74486655,0.74486655,0.74486655,0.8837488,0.74486655,0.6264334
70,0.74596,0.74596,0.74596,0.88560903,0.74596,0.6264334
71,0.7450148,0.7450148,0.7450148,0.8856047,0.7450148,0.6264334
72,0.74710894,0.74710894,0.74710894,0.8862335,0.74710894,0.6264334
73,0.7452928,0.7452928,0.7452928,0.8849524,0.7452928,0.6264334
74,0.74703485,0.74703485,0.74703485,0.88880366,0.74703485,0.6264334
75,0.74798,0.74798,0.74798,0.88816375,0.74798,0.6264334
76,0.7492031,0.7492031,0.7492031,0.8897327,0.7492031,0.6264334
77,0.74957377,0.74957377,0.74957377,0.88983715,0.74957377,0.6264334
78,0.7506857,0.7506857,0.7506857,0.89150417,0.7506857,0.6264334
79,0.75187176,0.75187176,0.75187176,0.892454,0.75187176,0.6264334
80,0.7523907,0.7523907,0.7523907,0.89344996,0.7523907,0.6264334
81,0.7542809,0.7542809,0.7542809,0.8958864,0.7542809,0.6264334
82,0.7552261,0.7552261,0.7552261,0.8961754,0.7552261,0.6264334
83,0.7591364,0.7591364,0.7591364,0.89682233,0.7591364,0.6264334
84,0.7571906,0.7571906,0.7571906,0.8971632,0.7571906,0.6264334
85,0.75895107,0.75895107,0.75895107,0.8987123,0.75895107,0.6264334
86,0.7603966,0.7603966,0.7603966,0.90067005,0.7603966,0.6264334
87,0.760341,0.760341,0.760341,0.9020435,0.760341,0.6264334
88,0.7639733,0.7639733,0.7639733,0.90382606,0.7639733,0.6264334
89,0.7644366,0.7644366,0.7644366,0.9064349,0.7644366,0.6264334
90,0.7654559,0.7654559,0.7654559,0.9060438,0.7654559,0.6264334
