,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epoch_loss
62,0.653,0.437,0.461,0.316,0.36,0.376,0.465,0.378,0.261,0.237,1.6914884086608886
63,0.591,0.465,0.273,0.414,0.569,0.301,0.448,0.322,0.396,0.202,1.6897375114440918
64,0.449,0.351,0.329,0.309,0.349,0.468,0.61,0.377,0.475,0.306,1.6871263751220704
65,0.412,0.54,0.312,0.326,0.426,0.29,0.64,0.41,0.4,0.373,1.6897988403320312
66,0.592,0.458,0.349,0.4,0.378,0.309,0.545,0.357,0.394,0.326,1.6887456353759767
67,0.556,0.456,0.446,0.229,0.453,0.482,0.477,0.358,0.399,0.25,1.694256645050049
68,0.558,0.379,0.339,0.245,0.318,0.443,0.588,0.317,0.395,0.458,1.693493345489502
69,0.643,0.459,0.338,0.397,0.408,0.378,0.502,0.381,0.312,0.388,1.6932717166137696
70,0.543,0.375,0.324,0.346,0.49,0.356,0.577,0.411,0.361,0.338,1.6910859603881836
71,0.582,0.429,0.321,0.378,0.434,0.319,0.526,0.393,0.37,0.335,1.6874703944396974
72,0.613,0.502,0.259,0.333,0.551,0.339,0.489,0.44,0.299,0.257,1.6870100543212891
73,0.524,0.312,0.311,0.163,0.43,0.504,0.638,0.39,0.407,0.37,1.687945406188965
74,0.545,0.496,0.215,0.255,0.516,0.353,0.58,0.443,0.413,0.266,1.6855884837341308
75,0.527,0.521,0.318,0.27,0.552,0.368,0.574,0.346,0.302,0.255,1.69022099899292
76,0.587,0.348,0.315,0.2,0.48,0.524,0.57,0.394,0.282,0.368,1.6863046171569824
77,0.434,0.399,0.447,0.183,0.423,0.451,0.439,0.374,0.469,0.306,1.6896399003601075
78,0.588,0.418,0.251,0.351,0.519,0.482,0.489,0.381,0.327,0.365,1.6867212364196777
79,0.427,0.525,0.526,0.291,0.375,0.38,0.403,0.356,0.424,0.289,1.6848258984375
80,0.523,0.466,0.254,0.238,0.43,0.416,0.573,0.42,0.431,0.386,1.6903006806945802
81,0.515,0.424,0.372,0.128,0.528,0.401,0.462,0.289,0.507,0.373,1.688882003173828
82,0.522,0.402,0.333,0.369,0.549,0.389,0.44,0.313,0.387,0.408,1.6854021142578124
83,0.667,0.377,0.34,0.406,0.365,0.394,0.524,0.422,0.227,0.346,1.6860616744995116
84,0.576,0.472,0.408,0.19,0.3,0.372,0.594,0.319,0.383,0.304,1.6901118182373047
85,0.42,0.274,0.268,0.242,0.408,0.46,0.592,0.364,0.557,0.4,1.6946811512756348
86,0.529,0.366,0.279,0.286,0.537,0.414,0.499,0.316,0.406,0.453,1.6907219688415527
87,0.51,0.364,0.285,0.335,0.401,0.367,0.574,0.316,0.492,0.433,1.6893190142822265
88,0.541,0.333,0.415,0.402,0.314,0.423,0.519,0.303,0.395,0.366,1.685568205871582
89,0.555,0.519,0.346,0.366,0.432,0.408,0.473,0.293,0.394,0.349,1.6817798789978027
90,0.603,0.551,0.338,0.25,0.363,0.338,0.653,0.372,0.313,0.241,1.6984246878051759
91,0.515,0.294,0.281,0.331,0.51,0.378,0.611,0.256,0.451,0.386,1.6900321307373047
92,0.523,0.436,0.323,0.25,0.563,0.463,0.501,0.332,0.389,0.301,1.6917507858276368
93,0.64,0.515,0.324,0.39,0.318,0.358,0.615,0.302,0.317,0.279,1.6921523663330078
94,0.557,0.415,0.332,0.243,0.444,0.462,0.629,0.41,0.265,0.239,1.6903238662719726
95,0.553,0.565,0.397,0.386,0.475,0.347,0.434,0.386,0.262,0.243,1.692837559967041
96,0.37,0.441,0.337,0.253,0.487,0.447,0.416,0.398,0.501,0.453,1.690266732788086
97,0.402,0.537,0.419,0.326,0.463,0.37,0.496,0.325,0.455,0.293,1.6936072355651854
98,0.536,0.514,0.299,0.201,0.53,0.509,0.456,0.309,0.426,0.274,1.68840871673584
99,0.502,0.403,0.299,0.394,0.436,0.308,0.627,0.269,0.403,0.347,1.6887969444274902
